T° Extérieure;H% Extérieure;Dew Point;Ressentie;Vent;Rafale;Pression R;Luminosité;UVI;Pluie Heure;Pluie Jour;Semaine;Pluie mois;Pluie Année;Pm2.5;;;
9.5;89;7.7;9.5;1.8;2.5;1008.7;0;0;0;0;1.1;56.2;612.4;9.1;9.2;01:12;
9.4;88;7.5;9.4;0;1.8;1008.6;0;0;0;0;1.1;56.2;612.4;9;9.2;01:13;
9.4;89;7.6;9.4;2.2;2.2;1008.4;0;0;0;0;1.1;56.2;612.4;9;9.2;01:14;
9.3;89;7.5;9.3;0;2.2;1008.7;0;0;0;0;1.1;56.2;612.4;9;9.1;01:15;
9.3;89;7.5;9.3;0;1.8;1008.5;0;0;0;0;1.1;56.2;612.4;8.9;9.1;01:16;
9.3;89;7.5;9.3;1.8;2.5;1008.8;0;0;0;0;1.1;56.2;612.4;8.9;9;01:17;
9.3;89;7.5;9.3;2.2;2.9;1008.8;0;0;0;0;1.1;56.2;612.4;8.9;9;01:18;
9.3;89;7.5;9.3;2.2;3.2;1008.6;0;0;0;0;1.1;56.2;612.4;8.8;9;01:19;
9.4;89;7.6;9.4;2.5;3.2;1008.7;0;0;0;0;1.1;56.2;612.4;8.8;9;01:20;
9.4;89;7.6;9.4;3.2;4.7;1008.5;0;0;0;0;1.1;56.2;612.4;8.9;8.9;01:21;
9.3;89;7.5;9.3;1.8;3.6;1008.5;0;0;0;0;1.1;56.2;612.4;8.9;8.9;01:22;
9.3;89;7.5;9.3;2.5;2.9;1008.5;0;0;0;0;1.1;56.2;612.4;8.9;8.9;01:23;
9.2;89;7.4;9.2;2.9;3.2;1008.5;0;0;0;0;1.1;56.2;612.4;8.9;8.9;01:24;
9.2;89;7.4;9.2;0;3.2;1008.5;0;0;0;0;1.1;56.2;612.4;8.9;8.9;01:25;
9.1;89;7.3;9.1;0;2.5;1008.5;0;0;0;0;1.1;56.2;612.4;8.9;8.9;01:26;
9.1;89;7.3;9.1;0;2.2;1008.3;0;0;0;0;1.1;56.2;612.4;8.9;8.9;01:27;
9.1;89;7.3;9.1;2.2;2.2;1008.4;0;0;0;0;1.1;56.2;612.4;8.8;8.9;01:28;
9.1;89;7.3;9.1;3.2;3.2;1008.3;0;0;0;0;1.1;56.2;612.4;8.8;8.8;01:29;
9.1;89;7.3;9.1;2.5;3.2;1008.5;0;0;0;0;1.1;56.2;612.4;8.8;8.8;01:30;
9;89;7.3;9;0;2.9;1008.2;0;0;0;0;1.1;56.2;612.4;8.7;8.8;01:31;
9;89;7.3;9;1.8;2.9;1008.3;0;0;0;0;1.1;56.2;612.4;8.7;8.8;01:32;
9;89;7.3;9;0;1.8;1008.1;0;0;0;0;1.1;56.2;612.4;8.7;8.7;01:33;
8.9;90;7.3;8.9;1.8;3.6;1008.2;0;0;0;0;1.1;56.2;612.4;8.6;8.7;01:34;
